User - add,1588193804095
User - add,1588193804095
User - add,1588193804095
User - add,1588193804095
User - add,1588193804095
Audiobook - add,1588193804097
Book - add,1588193804097
Book - add,1588193804097
Book - add,1588193804097
Game - add,1588193804097
Game - add,1588193804097
Movie - add,1588193804098
Card - add,1588193804098
User - addCard,1588193804098
User - buyApplication,1588193804098
Application - existsApplication,1588193804098
User - existsUser,1588193804098
Application - getApplications,1588193804098
Application - getApplications,1588193804098
User - showUsers,1588193804109
User - giveRating,1588193804153
Application - existsApplication,1588193804154
User - existsUser,1588193804154
